title,description,street,city,state,postal_code,country,lat,lng,phone,fax,email,website,description_2,marker_id,is_disabled,open_hours,brand,special,slug,lang,pending,updated_on,logo_name,categories,order
Acland Street Medical Centre,,171 Acland Street,Saint Kilda,VIC,3182,Australia,-37.86909158,144.9804731,(03) 9534 0635,,,https://familydoctor.com.au/aclandstreetmedical,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,acland-street-medical-centre-saint-kilda,,,,Default,Medical Center,0
Alphington Medical Centre,,29-31 Station Street,Fairfield,VIC,3078,Australia,-37.78232056,145.0182525,(03) 9485 5100,,,https://familydoctor.com.au/alphington,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,alphington-medical-centre-fairfield,,,,Default,Medical Center,0
Apollo General Practice,,75 Bowman Road,Caloundra,QLD,4551,Australia,-26.8036534,153.1217708,(07) 5438 1200,,,https://familydoctor.com.au/apollogp/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,apollo-general-practice-caloundra,,,,Default,Medical Center,0
Ballarat Family Doctors,,49-51 Albert St,Sebastopol,VIC,3356,Australia,-37.5850634,143.8449067,(03) 4329 0005,,,https://familydoctor.com.au/ballaratfamilydoctors/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,ballarat-family-doctors-sebastopol,,,,Default,Medical Center,0
Bayside Skin Centre,,123 Link Road,Victoria Point,QLD,4165,Australia,-27.5857579,153.2948801,(07) 2802 3818,,,https://familydoctor.com.au/baysideskincentre/,,1,0,mon=09:30 AM - 06:30 PM|tue=09:30 AM - 06:30 PM|wed=09:30 AM - 06:30 PM|thu=09:30 AM - 06:30 PM|fri=09:30 AM - 06:30 PM|sat=09:30 AM - 06:30 PM|sun=09:30 AM - 06:30 PM,,,bayside-skin-centre-victoria-point,,,23/01/2024 23:52,,,0
Better Health on Buderim,,16 Lindsay Rd,Buderim,QLD,4556,Australia,-26.68386511,153.051036,(07) 5456 1600,,,https://familydoctor.com.au/betterhealthonbuderim/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,better-health-on-buderim-buderim,,,,Default,Medical Center,0
Black Fish Medical Clinic,,215-235 Rossiter Road,Koo Wee Rup,VIC,3981,Australia,-38.20080641,145.483911,(03) 5997 1819,,,https://familydoctor.com.au/blackfish/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,black-fish-medical-clinic-koo-wee-rup,,,,Default,Medical Center,0
Bli Bli Clinic,,"Suite 311, Level 3, Bli Bli Village Centre",Bli Bli,QLD,4560,Australia,-26.62218881,153.0415464,(07) 5450 0151,,,https://familydoctor.com.au/bli-bli-clinic/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,bli-bli-clinic-bli-bli,,,,Default,Medical Center,0
Brightwater Medical Centre,,Brightwater Shopping Centre,Mountain Creek,QLD,4557,Australia,-26.71064996,153.1091116,(07) 5493 2888,,,https://familydoctor.com.au/brightwater/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,brightwater-medical-centre-mountain-creek,,,,Default,Medical Center,0
Bundilla Clinic,,1/174 Brisbane Road,Mooloolaba,QLD,4557,Australia,-26.69198501,153.1149702,(07) 5444 2666,,,https://familydoctor.com.au/bundilla/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,bundilla-clinic-mooloolaba,,,,Default,Medical Center,0
